Stock,Price,Volume,Market Cap,Beta,PE Ratio,EPS
a,81.47,783350,25938.0,1.27,23.26,3.51
aa,29.55,2375490,5502.0,1.38,24.72,1.20
aaba,74.01,16611754,42253.0,1.50,N/A,-15.90
aal,34.06,6219761,15214.0,1.84,11.18,3.03
aaoi,12.72,639136,248.532,2.43,N/A,-0.11
aap,176.78,830258,12655.0,1.29,30.99,5.73
aapl,197.00,25881697,943528.0,0.91,16.51,12.12
aaxn,57.73,791443,3549.0,0.79,120.64,0.50
ab,29.49,88499,2834.0,1.06,11.75,2.50
abb,19.58,1773966,42287.0,1.03,19.38,1.02
abbv,83.45,3499353,124136.0,0.99,22.95,3.66
abc,77.27,1717291,16490.0,1.53,14.33,5.45
abeo,7.65,279782,363.938,0.92,N/A,-1.19
abev,4.4900,15855959,69142.0,0.68,25.51,0.1760
abmd,284.91,600518,12757.0,1.26,58.85,4.81
abt,79.00,5178878,137918.0,0.88,59.08,1.33
acad,28.12,1251441,3895.0,2.46,N/A,-1.94
acc,48.25,721742,6588.0,0.43,56.98,0.84
acia,58.24,467033,2346.0,1.73,482.75,0.12
aciw,33.96,410747,3965.0,0.90,57.86,0.59
acls,20.96,145678,689.032,1.07,15.55,1.35
acm,31.25,832068,4908.0,1.80,67.18,0.47
acn,178.15,1373468,114115.0,1.14,26.03,6.87
acor,13.27,569236,609.231,1.97,18.01,0.71
adap,5.0900,176977,520.419,1.37,N/A,-0.9810
adbe,267.45,1796796,131166.0,1.03,49.87,5.39
addyy,127.79,28718,50332.0,0.88,28.38,4.45
adi,111.46,2237860,41155.0,1.31,26.99,4.14
adm,42.93,2720239,24134.0,0.86,13.51,3.19
adnt,16.31,1314761,1572.0,2.23,N/A,-15.91
adp,160.34,952102,69901.0,1.08,44.18,3.63
adsk,166.33,1699076,36605.0,1.43,N/A,-0.37
adus,65.02,88491,853.504,0.25,46.46,1.41
adxs,3.8500,362790,21.725,5.42,N/A,-8.7120
aee,72.39,1029449,17589.0,0.26,21.59,3.32
aem,43.45,980814,10267.0,-0.56,N/A,-1.40
aeo,22.82,4456654,3838.0,0.78,15.13,1.47
aep,83.57,3121049,41017.0,0.17,21.32,3.90
aer,49.00,695590,6905.0,1.74,7.09,6.83
aes,18.27,4111107,11917.0,0.60,9.95,1.81
afl,49.00,3303572,36784.0,0.52,13.03,3.77
ag,6.45,2087343,1286.0,-0.38,N/A,-1.11
agco,71.18,439396,5481.0,1.05,19.96,3.58
agen,2.9600,857257,390.537,2.09,N/A,-1.4430
agio,68.10,342177,3872.0,2.55,N/A,-6.03
agle,8.77,588386,233.153,1.06,N/A,-2.13
agn,149.64,1180235,49695.0,1.60,N/A,-15.26
agnc,18.06,3789226,9735.0,0.00,86.43,0.21
ago,45.35,524143,4666.0,0.82,9.71,4.68
agr,50.50,395075,15614.0,0.06,26.32,1.92
agro,7.07,275476,831.044,0.26,N/A,-0.21
aig,45.05,2147019,39025.0,1.30,N/A,-0.01
aimt,23.20,404004,1413.0,0.75,N/A,-3.67
ajg,78.30,847849,14440.0,0.60,22.93,3.40
akam,74.07,582828,12203.0,0.18,42.31,1.76
akrx,3.3500,1851334,428.221,3.83,N/A,-3.2100
aks,2.9300,3953510,926.785,2.77,4.97,0.5900
alb,86.14,964368,9206.0,1.08,13.71,6.34
